feature,mdi_importance,shap_importance,perm_importance,label,mdi_rank,shap_rank,perm_rank,avg_rank
deposit_type_enc,0.2094270250145575,0.0890888906861502,0.10878974725427622,Deposit Type,1,1,1,1.0
lead_time,0.1294470780719643,0.05931213969016061,0.05322763418265576,Lead Time,2,3,2,2.3333333333333335
total_of_special_requests,0.1004790188313325,0.0805936228460021,0.0412967396093014,Total Of Special Requests,3,2,3,2.6666666666666665
market_segment_enc,0.0790942324357878,0.05020525052017868,0.028982912749787627,Market Segment,4,4,8,5.333333333333333
room_type_match,0.0717094975487159,0.0406023085279639,0.033069228670112374,Room Type Match,5,5,6,5.333333333333333
required_car_parking_spaces,0.0533611348849867,0.029951070525859897,0.03734350304947692,Required Car Parking Spaces,7,6,4,5.666666666666667
previous_cancellations,0.0585270562020101,0.028684511666960705,0.036994254267856505,Previous Cancellations,6,8,5,6.333333333333333
customer_type_enc,0.0408428916132787,0.0295792573648033,0.03262398273739401,Customer Type,8,7,7,7.333333333333333
booking_changes,0.0384044292654881,0.027683783207497908,0.009852659772792195,Booking Changes,9,9,10,9.333333333333334
adr,0.0353034857041459,0.015092895673381273,0.021868989075683798,Adr,10,11,9,10.0
assigned_room_type_enc,0.0190976980888067,0.017272655944605905,0.0019146116008770253,Assigned Room Type,11,10,18,13.0
arrival_date_year,0.0150576025858953,0.009489198535270131,0.0069706759668315965,Arrival Date Year,14,13,12,13.0
hotel_enc,0.0096343581890103,0.0058428073239551875,0.008642290630461014,Hotel,18,14,11,14.333333333333334
distribution_channel_enc,0.0177865422731775,0.00983490975301433,0.0010093788278221715,Distribution Channel,12,12,21,15.0
arrival_date_week_number,0.0164466594980729,0.0032728026171042137,0.005643917824603639,Arrival Date Week Number,13,19,13,15.0
total_nights,0.0139494840788031,0.004316873244134795,0.0027475027412161125,Total Nights,16,15,16,15.666666666666666
arrival_date_day_of_month,0.0140414432821555,0.0024337632134956775,0.0021226640703375654,Arrival Date Day Of Month,15,23,17,18.333333333333332
previous_bookings_not_canceled,0.0056711295298026,0.004096027030118515,0.005482905940966465,Previous Bookings Not Canceled,25,16,14,18.333333333333332
reserved_room_type_enc,0.0093072418981535,0.0039512143774914,0.0012814155775023983,Reserved Room Type,20,17,20,19.0
meal_enc,0.0060253323220593,0.0019835695732711056,0.003000828165666214,Meal,23,25,15,21.0
total_guests,0.0068155202835786,0.003292008139755557,0.0009063830454114075,Total Guests,22,18,23,21.0
arrival_date_month_enc,0.0087062265291511,0.0030128401543996785,0.001004351711596807,Arrival Date Month,21,21,22,21.333333333333332
stays_in_week_nights,0.0102118037680722,0.0032589498210183754,0.0006403707711228668,Stays In Week Nights,17,20,27,21.333333333333332
arrival_month_num,0.0095062984924636,0.0024262661007694985,0.0007538631691691444,Arrival Month Num,19,24,26,23.0
stays_in_weekend_nights,0.0057918744350017,0.0018333094646958382,0.0007866025678916588,Stays In Weekend Nights,24,27,25,25.333333333333332
adults,0.0054692666134329,0.003007679715449532,0.0005666784052264617,Adults,26,22,28,25.333333333333332
days_in_waiting_list,0.0028103620394806,0.0004038750844508998,0.0014166570240064292,Days In Waiting List,27,30,19,25.333333333333332
is_repeated_guest,0.0020817092149593,0.001106514562511516,0.0007898772685260514,Is Repeated Guest,30,29,24,27.666666666666668
children,0.0022242276362062,0.0019710272894310084,0.00040497803185194357,Children,29,26,29,28.0
is_high_season,0.0026917046872756,0.0015779880343553467,0.0003119600252968091,Is High Season,28,28,30,28.666666666666668
babies,7.766498217276103e-05,2.2213445668959845e-05,6.693337465785154e-05,Babies,31,31,31,31.0
