feature,label,importance_mean,importance_std
deposit_type_enc,Deposit Type,0.10878974725427622,0.0022831868890877557
lead_time,Lead Time,0.05322763418265576,0.0012472187181591817
total_of_special_requests,Total Of Special Requests,0.0412967396093014,0.0008906074341267977
required_car_parking_spaces,Required Car Parking Spaces,0.03734350304947692,0.0016757206426539736
previous_cancellations,Previous Cancellations,0.036994254267856505,0.0009606436158021249
room_type_match,Room Type Match,0.033069228670112374,0.0010038056179105445
customer_type_enc,Customer Type,0.03262398273739401,0.0012087468090091465
market_segment_enc,Market Segment,0.028982912749787627,0.0009614258928865621
adr,Adr,0.021868989075683798,0.0006297374193522504
booking_changes,Booking Changes,0.009852659772792195,0.00038629880531690315
hotel_enc,Hotel,0.008642290630461014,0.000370717973809344
arrival_date_year,Arrival Date Year,0.0069706759668315965,0.00042635727885709604
arrival_date_week_number,Arrival Date Week Number,0.005643917824603639,0.0002329784507538272
previous_bookings_not_canceled,Previous Bookings Not Canceled,0.005482905940966465,0.0008266976210353402
meal_enc,Meal,0.003000828165666214,0.0002622930308707784
total_nights,Total Nights,0.0027475027412161125,0.00027103333874297606
arrival_date_day_of_month,Arrival Date Day Of Month,0.0021226640703375654,0.00011837664323137198
assigned_room_type_enc,Assigned Room Type,0.0019146116008770253,0.00014527825388079983
days_in_waiting_list,Days In Waiting List,0.0014166570240064292,0.000228521986879058
reserved_room_type_enc,Reserved Room Type,0.0012814155775023983,0.00020554181822991135
distribution_channel_enc,Distribution Channel,0.0010093788278221715,0.00017355426244717033
arrival_date_month_enc,Arrival Date Month,0.001004351711596807,0.00015653353096579584
total_guests,Total Guests,0.0009063830454114075,0.00013166184559270427
is_repeated_guest,Is Repeated Guest,0.0007898772685260514,0.0003354362666109893
stays_in_weekend_nights,Stays In Weekend Nights,0.0007866025678916588,0.0001152333572895759
arrival_month_num,Arrival Month Num,0.0007538631691691444,0.0001007530797786492
stays_in_week_nights,Stays In Week Nights,0.0006403707711228668,7.359806615971473e-05
adults,Adults,0.0005666784052264617,9.388616186991952e-05
children,Children,0.00040497803185194357,7.498248414408903e-05
is_high_season,Is High Season,0.0003119600252968091,6.58830490937724e-05
babies,Babies,6.693337465785154e-05,6.841207006323077e-05
