arrival_month_num,arrival_date_month,total_bookings,canceled,checked_out_or_active,cancellation_rate_pct,avg_adr_all,monthly_revenue_est
1,January,5871,1803,4068,30.71,71.05,776289.18
2,February,7998,2686,5312,33.58,74.21,1146666.71
3,March,9715,3146,6569,32.38,81.33,1651786.15
4,April,11045,4515,6530,40.88,100.77,2099038.72
5,May,11704,4675,7029,39.94,109.48,2394403.2
6,June,10891,4532,6359,41.61,117.17,2582538.52
7,July,12586,4736,7850,37.63,127.53,4099546.74
8,August,13812,5237,8575,37.92,140.75,4915488.46
9,September,10477,4114,6363,39.27,105.36,2343568.02
10,October,11064,4245,6819,38.37,88.67,1856816.72
11,November,6712,2120,4592,31.59,74.62,1033792.99
12,December,6689,2367,4322,35.39,82.17,1087040.62
