country,total_bookings,canceled,cancellation_rate_pct,avg_adr_stayed,total_revenue_est
PRT,47943,27494,57.35,93.06,5540431.72
GBR,12094,2451,20.27,90.76,4110896.61
FRA,10389,1932,18.6,106.04,3098418.27
ESP,8544,2176,25.47,110.69,2246305.29
DEU,7285,1218,16.72,101.29,2068219.65
ITA,3756,1332,35.46,111.17,866439.42
IRL,3373,832,24.67,94.77,1240002.35
BEL,2338,473,20.23,111.66,759145.06
BRA,2217,829,37.39,108.0,474782.78
NLD,2101,387,18.42,105.19,631636.11
USA,2089,501,23.98,119.57,490513.16
CHE,1724,428,24.83,117.4,547591.16
CN,1278,254,19.87,103.98,385436.5
AUT,1262,229,18.15,102.94,372529.74
SWE,1019,227,22.28,110.67,334983.15
