arrival_date_year,arrival_month_num,arrival_date_month,total_bookings,canceled,cancellation_rate_pct,avg_adr_stayed,monthly_revenue_est
2015,7,July,2754,1259,45.72,111.21,758339.79
2015,8,August,3863,1598,41.37,115.6,1137652.71
2015,9,September,5098,2093,41.06,98.82,1054620.67
2015,10,October,4916,1732,35.23,80.51,784714.88
2015,11,November,2313,486,21.01,59.61,346691.49
2015,12,December,2876,972,33.8,72.86,429521.57
2016,1,January,2221,554,24.94,62.64,264521.38
2016,2,February,3856,1331,34.52,69.56,483833.1
2016,3,March,4782,1475,30.84,75.23,767310.38
2016,4,April,5397,2057,38.11,87.14,895772.62
2016,5,May,5413,1914,35.36,96.59,1072667.19
2016,6,June,5259,2094,39.82,105.27,1144800.38
2016,7,July,4534,1493,32.93,128.12,1524476.34
2016,8,August,5034,1825,36.25,145.39,1807654.15
2016,9,September,5379,2021,37.57,115.77,1288947.35
2016,10,October,6148,2513,40.88,94.64,1072101.84
2016,11,November,4399,1634,37.14,79.55,687101.5
2016,12,December,3813,1395,36.59,86.51,657519.05
2017,1,January,3650,1249,34.22,71.52,511767.8
2017,2,February,4142,1355,32.71,76.54,662833.61
2017,3,March,4933,1671,33.87,81.23,884475.77
2017,4,April,5648,2458,43.52,110.15,1203266.1
2017,5,May,6291,2761,43.89,115.46,1321736.01
2017,6,June,5632,2438,43.29,125.38,1437738.14
2017,7,July,5298,1984,37.45,141.07,1816730.61
2017,8,August,4915,1814,36.91,160.83,1970181.6
